CONTROL_NUMBER,CARD_PROM_12,CHILDREN,DONOR_AGE,DONOR_GENDER,FILE_CARD_GIFT,FREQUENCY_STATUS_97NK,HOME_OWNER,INCOME_GROUP,LAST_GIFT_AMT,LIFETIME_CARD_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,NUMBER_PROM_12,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PCT_OWNER_OCCUPIED,PEP_STAR,PER_CAPITA_INCOME,RECENCY_STATUS_96NK,RECENT_AVG_CARD_GIFT_AMT,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,RECENT_CARD_RESPONSE_PROP,RECENT_RESPONSE_COUNT,RECENT_RESPONSE_PROP,RECENT_STAR_STATUS,SES,URBANICITY,WEALTH_RATING,TARGET_B
61745,4.0,3.0,33.0,M,0.0,1.0,H,5.0,20.0,9.0,35.0,2.0,20.0,15.0,21.0,566.0,315.0,182.03713229226065,18.0,18.0,10.0,0.0,52.0,17.0,25.0,92.0,0.0,12827.0,A,0.0,17.5,,0.0,2.0,0.154,0.0,2,T,,1
112703,3.0,2.0,,F,1.0,1.0,U,,15.0,6.0,15.0,1.0,15.0,15.0,15.0,318.0,148.0,24.0,24.0,24.0,7.0,0.0,31.0,31.0,39.0,73.0,0.0,7787.0,N,15.0,15.0,1.0,0.25,1.0,0.1,0.0,3,R,,1
166437,4.0,2.0,,F,7.0,3.0,H,4.0,10.0,17.0,79.0,11.0,12.0,5.0,40.0,1669.0,373.0,129.0,15.0,15.0,8.0,0.0,26.0,39.0,38.0,84.0,1.0,13965.0,S,0.0,10.67,0.0,0.0,3.0,0.231,1.0,1,U,,0
170621,4.0,,61.0,M,13.0,1.0,H,6.0,11.0,28.0,80.0,17.0,11.0,3.0,75.0,1464.0,488.0,130.0,16.0,16.0,13.0,0.0,48.0,30.0,44.0,84.0,1.0,24123.0,A,10.0,10.0,2.0,0.286,2.0,0.111,0.0,1,U,,0
44428,6.0,0.0,75.0,M,3.0,4.0,H,3.0,7.0,9.0,27.0,5.0,7.0,5.0,22.0,936.0,249.0,24.0,17.0,17.0,13.0,0.0,52.0,,66.0,90.0,1.0,15008.0,N,5.67,5.4,3.0,0.6,5.0,0.5,0.0,2,C,,0
80221,5.0,0.0,51.0,M,12.0,1.0,U,2.0,11.0,24.0,129.0,18.0,11.0,3.0,67.0,470.0,308.0,85.0,17.0,17.0,12.0,0.0,20.0,43.0,,87.0,1.0,10616.0,A,9.67,9.67,3.0,0.333,3.0,0.167,6.0,2,,4.0,0
171942,6.0,3.0,40.0,F,2.0,4.0,H,5.0,5.0,18.0,93.0,14.0,10.0,4.0,45.0,824.0,221.0,55.0,15.0,15.0,13.0,0.0,29.0,39.0,30.0,55.0,0.0,8428.0,A,9.0,6.2,1.0,0.091,5.0,0.238,0.0,3,U,1.0,0
29567,3.0,0.0,,M,12.0,3.0,U,,5.0,19.0,91.07,20.0,7.0,0.07,48.0,766.0,,128.0,17.0,17.0,6.0,0.0,20.0,56.0,0.0,84.0,1.0,19881.0,S,4.67,4.75,3.0,0.5,4.0,0.333,1.0,2,T,5.0,0
37885,6.0,4.0,69.0,F,2.0,2.0,H,6.0,20.0,18.0,105.0,7.0,20.0,5.0,46.0,520.0,217.0,182.03713229226065,16.0,16.0,15.0,0.0,4.0,25.0,0.0,57.0,0.0,7811.0,A,20.0,18.75,2.0,0.182,4.0,0.182,0.0,4,U,1.0,0
81374,6.0,4.0,51.0,M,5.0,2.0,U,2.0,12.0,21.0,93.0,13.0,12.0,3.0,52.0,401.0,247.0,64.0,,19.0,13.0,0.0,24.0,30.0,25.0,83.0,1.0,9226.0,S,8.0,10.0,1.0,0.111,3.0,0.15,1.0,3,R,2.0,0
