CONTROL_NUMBER,TARGET_B
117283,0
146706,0
137973,0
126500,0
18200,0
175935,1
12049,1
121505,0
151623,0
74443,0
111181,0
97190,0
90849,0
138548,0
104365,0
172258,0
26408,0
52659,0
58333,0
22568,0
61685,0
17633,0
127348,0
16638,0
70130,0
76764,0
76249,0
38539,1
71513,0
19598,0
26779,0
156143,0
168644,1
120519,0
31211,0
107195,1
127527,1
88802,1
157153,1
147727,0
145925,0
168189,1
72913,0
190311,1
96031,1
57946,0
111078,0
101766,0
162964,0
113355,0
106970,0
184392,0
152928,0
178296,1
63255,0
5335,1
5881,1
185074,0
111656,1
191672,0
52587,0
67745,0
178213,0
82618,1
129336,0
186508,0
29685,0
183203,0
87706,1
88092,0
113733,0
11164,0
60563,0
188506,0
187768,0
112653,0
20208,0
24436,0
156715,0
10365,0
8358,0
179130,0
22767,0
190329,0
54393,1
127346,1
131595,0
189848,1
149142,0
30444,0
74140,0
127055,0
34843,0
49142,0
136268,0
43104,1
153565,0
137465,0
153400,0
110326,0
9087,0
172924,0
125325,1
190493,0
138541,1
104049,1
131552,0
17880,0
108393,0
15720,0
71884,0
144671,0
34457,0
115528,0
172814,0
115314,0
103333,0
137896,0
172140,1
39805,0
20119,0
75768,0
82590,0
132983,1
54824,0
7017,0
181195,0
103593,1
17152,0
28798,0
166142,0
64267,0
57019,0
7214,0
162253,1
165830,1
161501,0
15958,0
166146,0
145323,0
90077,0
157284,1
168137,0
146392,1
4425,0
169058,0
89767,0
169144,0
100911,0
14719,0
147717,0
31262,0
28237,0
40501,0
157316,0
93091,0
21261,0
120469,0
13496,1
161055,0
66220,1
66244,1
43010,1
63420,0
61533,0
128998,0
37458,0
110707,0
100058,0
38734,1
22854,0
135729,0
49914,0
85436,0
41091,1
77057,1
103058,0
170167,0
83957,0
142848,0
119538,1
122713,0
73915,1
172702,1
168370,1
91482,0
168315,0
92287,0
75442,0
155388,1
169626,0
151335,0
85432,0
83037,0
100819,0
54765,0
183294,0
169315,0
180514,0
57326,0
71817,0
89335,0
130878,0
788,0
174481,0
92612,0
100736,0
25576,1
54511,0
15209,0
32091,0
167256,0
28641,0
44088,1
41986,0
13840,0
16150,0
1673,1
162,0
49146,0
11689,0
81757,0
102751,0
98033,1
160302,1
132479,0
160306,1
3463,0
91965,1
55744,0
8440,0
158366,0
67359,0
123325,0
59600,0
51735,0
92856,0
140049,1
74880,1
74123,0
167165,1
5742,1
113812,1
160557,0
55580,0
38894,0
98144,0
141717,0
129768,0
30450,1
177995,0
5775,0
114987,0
179876,1
160857,0
20913,0
139522,0
77465,0
181963,0
185309,1
35143,0
183924,0
105546,0
177280,0
147878,0
123406,0
89816,1
56673,0
62932,1
90419,0
115215,0
101201,1
140262,0
112521,0
97026,1
182138,0
144155,0
93103,0
112270,0
26166,0
125734,0
8277,0
20721,1
161560,0
96487,0
189725,1
100872,0
112068,0
10570,0
97183,0
162536,0
35322,0
132527,0
162343,1
189456,0
135233,0
14437,1
34078,0
18229,0
188981,0
70492,0
120966,0
129577,0
38110,0
123388,0
22467,0
58753,0
11956,0
64008,1
40826,0
69452,0
115257,0
15833,0
6006,1
150711,0
98863,0
36595,0
133821,0
111137,1
94495,0
3359,0
142276,0
121640,1
72226,0
48047,1
85592,0
8365,0
161326,1
16480,0
99824,0
33267,0
162618,1
23146,1
119799,0
39765,0
91054,0
152822,1
77235,0
113637,0
42724,1
34469,0
62925,0
87275,0
35953,0
149859,0
20573,0
44313,0
184445,0
71805,0
145894,0
89113,0
178433,1
155524,0
38278,0
35276,1
25448,1
60533,0
118787,0
116595,1
185913,1
112906,0
22592,0
85476,1
168173,0
68701,0
130585,0
79263,0
68694,0
126515,0
33542,0
162865,0
86563,0
111909,0
145874,0
151649,0
66270,0
71500,0
125576,0
147544,0
164520,0
36563,0
82870,0
81322,1
30578,0
56400,0
126447,0
102772,1
57604,0
77756,0
164054,0
173272,0
54417,0
11961,1
150776,1
16871,1
25263,0
140068,0
22963,0
151653,1
36334,0
81743,0
84891,0
7048,1
164333,0
183223,1
151253,0
41715,1
144393,1
180825,0
25682,0
49762,0
84175,0
165177,1
125508,0
79827,0
119142,0
22831,0
72040,0
160122,0
48260,0
11943,1
125132,0
163892,0
77379,1
73243,0
127101,0
185035,0
185120,0
89985,0
109305,0
104195,0
20954,0
64982,0
31505,0
12348,0
387,1
176807,0
56640,0
105741,1
105877,0
15573,0
29348,1
7995,0
125141,0
141485,0
8989,1
172214,1
163316,1
134371,0
4544,1
14990,0
96655,0
41445,1
39283,0
12443,0
191134,1
138118,0
149183,0
11075,0
183898,1
94577,0
11147,0
57237,0
137300,0
124478,1
16237,0
131502,0
88797,0
110467,0
83256,0
59290,0
42988,0
9397,0
18975,0
150186,1
57461,0
45870,1
164306,1
148931,0
117955,0
179697,0
19469,0
140381,0
139500,1
135498,0
115901,0
170935,1
59571,0
19490,1
101161,0
133596,0
100353,0
51242,0
132341,0
177839,0
76891,1
128613,0
155642,1
30624,0
21539,1
144261,0
151310,0
124190,0
139461,0
62117,0
147116,0
171337,0
94804,1
184282,0
175000,1
150500,0
65240,0
124985,0
136818,0
45338,1
130530,1
53485,1
33955,0
118739,1
119636,0
119227,0
56835,0
90626,0
140647,0
167138,1
163675,1
78900,0
146940,1
112112,0
144589,0
125974,0
78840,0
74609,0
170243,0
145299,0
120551,1
60252,1
88458,0
79977,0
186567,0
41480,0
61210,0
128438,0
7518,1
145105,0
40084,0
68738,0
65433,0
174380,0
176358,0
145383,1
185599,0
154565,0
156378,1
77435,1
27590,0
54796,0
101876,0
161735,0
88064,0
37998,0
38273,0
147928,1
83983,1
49833,0
145325,0
108836,0
50684,1
37792,0
147777,0
114830,0
133479,0
160661,0
20450,0
118030,0
66139,0
180890,0
182951,0
98470,1
162026,1
117177,1
80788,0
15763,0
178008,0
164443,0
58883,1
67966,0
78516,0
145282,0
165480,0
160729,0
6827,0
153593,0
99216,0
136998,0
163860,0
91942,1
121683,1
170411,0
78228,0
71298,0
136442,0
31911,1
180263,0
79641,1
68481,0
14996,0
3141,0
22944,0
124543,1
152670,0
188828,0
116238,0
190157,1
98394,0
13748,1
28405,0
120041,1
87306,0
119089,1
99894,0
133828,0
59819,0
124872,1
171760,0
31094,1
125930,1
132847,1
138419,0
102953,1
37887,0
107513,0
166109,0
73057,0
19504,0
146835,1
184255,1
45351,1
149335,0
71904,1
153273,0
128120,0
179486,0
67699,0
57269,0
181755,1
132584,0
24159,0
171557,0
153669,0
63375,0
177190,1
15136,0
34735,1
76869,0
90242,0
142241,1
145452,0
130099,0
131362,0
167614,1
190040,1
54992,0
165494,1
112358,0
33243,0
119937,0
102706,1
77724,0
32784,0
162284,0
49729,0
190842,0
65109,0
49920,0
108014,0
21093,0
189312,0
130335,0
24600,0
168577,0
20415,0
93432,1
87397,0
67628,0
16025,0
21144,1
47977,0
21631,0
178463,0
104695,0
162105,0
92620,0
83970,0
92574,0
114148,0
66754,0
10418,0
1292,1
34501,0
109472,0
82877,0
20438,1
11511,0
94046,0
31977,1
123600,0
56897,0
37772,0
81272,0
179198,0
188775,0
24420,1
104442,1
155033,0
28717,0
11737,0
43149,0
8245,0
60581,0
180289,0
49709,0
130616,0
63023,0
104267,1
25336,0
159659,0
80467,0
88956,0
152417,0
7541,0
139626,1
136839,0
167654,1
129408,1
64445,0
176929,0
133042,1
173348,1
145966,0
82739,1
8657,1
168247,0
87309,0
169992,1
111918,1
135595,0
18694,1
103488,1
41242,0
60385,0
85617,1
87904,1
113910,0
70541,0
10606,1
32431,0
159171,1
114850,0
40655,1
120189,1
190727,1
139174,0
8195,1
186684,0
31968,0
135240,0
132239,0
117164,0
5762,0
52713,0
161228,0
2989,0
129590,0
76385,0
116063,1
60555,0
14722,0
86778,0
84097,1
87024,1
156664,0
120224,1
56990,0
62225,0
171286,0
134935,0
176781,1
62046,0
5733,1
122131,1
189959,0
49712,1
53128,0
142700,0
4820,0
50403,0
125217,0
151425,0
94283,0
47208,0
144021,1
33224,0
179463,0
118227,0
1495,0
182880,0
40921,0
97652,1
184684,0
180660,0
107516,0
115192,0
179923,0
84923,0
44428,0
190619,1
36580,0
32616,0
135092,0
138804,1
134941,0
134134,0
184017,1
2609,0
9287,1
173100,1
12045,0
6286,0
82673,0
122854,0
116186,1
20972,0
67104,0
128059,1
10549,0
117365,0
111852,0
82313,1
182052,0
169947,0
7846,1
121711,0
164984,0
143509,0
101390,1
179831,0
32359,1
91966,0
110639,0
186807,1
18128,0
931,1
21587,1
57031,0
149932,0
104587,0
180876,0
47695,0
155702,0
23351,1
138180,0
162820,1
85194,0
77695,1
95246,0
178464,0
157769,0
55156,0
152283,1
176777,0
8623,0
85010,1
89677,1
158564,0
182725,0
107402,0
117026,1
113700,0
95914,0
163130,0
174915,0
4055,1
17030,0
140250,0
136718,1
105248,0
48086,0
149114,0
124946,0
93532,0
108315,0
11704,1
54128,0
91803,0
152533,0
368,1
38700,0
140723,1
122648,0
15219,1
74131,0
127911,0
163779,0
147643,0
108348,0
85517,1
32730,0
40969,0
173994,1
87206,0
136768,1
10036,1
136316,0
163420,0
158743,0
90182,0
71956,0
93257,0
67000,1
104313,0
177763,0
164850,1
58934,1
123180,0
44965,0
18502,0
171738,1
88638,0
158697,0
147989,0
137393,0
161726,1
55422,0
29564,0
188986,1
42907,0
109583,1
18055,0
31463,0
29103,1
122766,0
66600,0
142377,0
139828,0
163606,0
111581,0
11937,0
47272,0
28232,0
36997,0
35159,0
84359,0
27212,0
125501,1
69979,0
99852,0
172846,1
173872,1
182573,1
44395,0
92293,1
